id,jobTitle,companyName,jobType,jobGeo,jobLevel,pubDate,AnnualSalaryMin,AnnualSalaryMax,SalaryCurrency
105914,Senior Data Scientist,Qventus,full-time,Canada,Senior,2024-06-02 07:28:00,,,
104793,"Product Analyst, B2B",Calm,full-time,USA,Any,2024-06-02 07:18:53,131200,183700,USD
79197,Staff Data Engineer,Headspace,full-time,USA,Any,2024-06-02 07:12:35,131414,197100,USD
107213,Conversational AI Sales Specialist,Zendesk,full-time,UK,Any,2024-06-01 07:24:40,,,
104004,Sr. Customer Retention Specialist,Varsity Tutors,full-time,USA,Senior,2024-05-23 08:41:01,40000,,USD
106823,Director of Revenue Operations,Find.co,full-time,"Spain,  UK",Director,2024-05-23 08:31:34,,,
104258,Data Scientist,Instacart,full-time,Canada,Any,2024-05-18 06:25:14,,,
97861,Senior Data Analyst - Lodging,Hopper,full-time,"Canada,  USA",Senior,2024-05-17 06:42:18,,,
104194,"Security Engineer, Incident Response",Databricks,full-time,UK,Any,2024-05-16 07:19:56,,,
101219,Educational Sales Coordinator,Varsity Tutors,full-time,USA,Any,2024-05-16 07:05:41,40000,,USD
